Nazwa|Cena|Miasto|Dzielnica|Inwestycja|Pow. całkowita|Rynek|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Piętro|Liczba pięter|Liczba poziomów mieszkania|Liczba sypialni|Balkon|Taras|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Pow. użytkowa|Stan nieruchomości|Wysokość wnętrza|Typ kuchni|Liczba łazienek|łazienka razem z WC|Pow. loggii|Forma własności|Stan budynku|Pow. łazienki|Pow. balkonu|Dostępne od|Cena do negocjacji|Pow. tarasu|Pow. ogródka|Stolarka okienna|Typ domu|Dodatkowe koszty|Lokalizacja garażu|Kominek|Typ nieruchomości
2 pokoje z balkonem i ogrodem w zielonej okolicy|495 000 zł|Gdynia, |Witomino, ||58,44 m²|Wtórny|1960|09.09.2022|09.04.2024|morizon-PAN790461|2 955|1|1/1|1|1||Nie|Tak|Na wyłączność|Dom Wielorodzinny|Pustak|Elektryczne|||||||||||||||||||||
Apartament w inwestycji Nowe Orłowo|1 295 000 zł|Gdynia, |Orłowo, ||42,36 m²|Wtórny|2016|24.11.2023|08.04.2024|morizon-PAN513543|495|1|2/3|3|||Tak|Nie|Na wyłączność|Apartamentowiec|Konstrukcja mieszana|Co Miejskie|||||||||||||||||||||
Piękny widok na Gdynię i MORZE|1 112 200 zł|Gdynia, |Śródmieście, ||43,93 m²|Pierwotny|2023|13.11.2023|04.04.2024|morizon-PAN628721|207|1|8/17|17|||Nie|Nie||Apartamentowiec|YTong|Co Miejskie|||||||||||||||||||||
"PRZESZKLONY APARTAMENT | WYSOKOŚĆ SUFITÓW 3 M"|2 690 000 zł|Gdynia, |Śródmieście, ||114,34 m²|Wtórny|2023|05.03.2024|26.03.2024|morizon-PAN746501|89|1|2/6|6|||Tak|Nie||Apartamentowiec|YTong|Co Miejskie|||||||||||||||||||||
Mieszkanie do generalnego remontu|385 000 zł|Gdynia, |Śródmieście, ||33,26 m²|Wtórny|1927|12.01.2024|28.03.2024|morizon-PAN803505|1 112|1|3/5|5||1|Nie|Nie||Blok Mieszkalny|Cegła|Co Miejskie|||||||||||||||||||||
Piękne mieszkanie tuż przy Gdyni Śródmieściu|749 000 zł|Gdynia, |Działki Leśne, ||67,30 m²|Wtórny|1963|12.02.2024|06.03.2024|morizon-PAN827132|124|1|5/10|10|||Tak|Nie||Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
MIESZKANIE BLISKO MORZA|840 000 zł|Gdynia, |Kamienna Góra, ||57,76 m²|Wtórny|1952|12.12.2023|12.04.2024|morizon-PAN181757|236|1|5/5|5||2|Nie|Nie||Kamienica|Cegła|Co Miejskie|55,10 m²||||||||||||||||||||
słoneczny apartament z ogrodem - Osiedle Tesoro|1 125 000 zł|Gdynia, |Pogórze, ||80 m²|Wtórny|2022|21.08.2023|03.04.2024|morizon-41|494|1||1|1||Nie||Na wyłączność|Inna|Pustak|Gazowe||||Otwarta|1|Tak||Własność|Bardzo dobry|||28.08.2023|||180 m²||||||
OKNA NA ŚWIĘTOJAŃSKĄ! BALKON|1 299 000 zł|Gdynia, |Śródmieście, ||108,13 m²|Wtórny|1927|12.01.2024|28.03.2024|morizon-PAN618710|293|1|3/4|4||5|Tak|Nie||Blok Mieszkalny|Cegła|Co Miejskie|||||||||||||||||||||
2-pokoje na pierwszym piętrze Gdynia|400 000 zł|Gdynia, |Chylonia, ||37,07 m²|Wtórny|1965|12.02.2024|05.03.2024|morizon-PAN566009|512|1|1/4|4|1|1|Nie|Nie|Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
Mieszkanie 500m od skweru z możliwością 2 pokoi|460 000 zł|Gdynia, |Śródmieście, ||30,72 m²|Wtórny|1960|23.10.2023|12.04.2024|morizon-PAN793920|838|1|3/4|4|||Tak|Nie|Na wyłączność|Blok Mieszkalny|Cegła|Gazowe|||||||||||||||||||||
Idealne mieszkanie dla rodziny blisko lasu|580 000 zł|Gdynia, |Dąbrowa, ||62,60 m²|Wtórny|1991|10.01.2024|26.03.2024|morizon-PAN424602|293|1|3/4|4||1|Tak|Nie|Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
Jasne klimatyczne mieszkanie 52 m2 w sercu Gdyni|649 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||51,42 m²|Wtórny|1952|01.02.2024|23.03.2024|morizon-PAN364704|345|1|1/3|3|||Nie|Nie||Kamienica|Cegła|Co Miejskie|||||||||||||||||||||
Opis nieruchomości|518 569 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,72 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.41|460|36|||||||||||||||||||||||||||||||
3 POKOJE LAS IDELANIE SKOMUNIKOWANE|665 000 zł|Gdynia, |Obłuże, ||53 m²|Wtórny|1974|14.02.2024|02.04.2024|morizon-PAN913115|127|1|4/4|4||2|Tak|Nie||Blok Mieszkalny|Pustak|Co Miejskie|||||||||||||||||||||
Ładne 2 pokoje, dobra komunikacja|549 000 zł|Gdynia, |Karwiny, ||48,20 m²|Wtórny|1984|23.01.2024|26.03.2024|morizon-PAN606946|256|1|3/4|4|||Tak|Nie||Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
Potencjał inwestycyjny, blisko morza|1 059 000 zł|Gdynia, |Śródmieście, ||53,18 m²|Pierwotny|2023|16.12.2023|04.04.2024|morizon-PAN723774|183|1|1/17|17|||Nie|Nie||Apartamentowiec|YTong|Co Miejskie|||||||||||||||||||||
MIESZKANIE 4 pokojowe na ŚWIĘTOJAŃSKIEJ|1 650 000 zł|Gdynia, |Śródmieście, ||85,10 m²|Wtórny|1930|04.03.2024|29.03.2024|morizon-PAN177087|95|1|1/4|4|||Nie|Nie||Kamienica|Cegła|Co Miejskie|||||||||||||||||||||
Apartament przy lesie w kameralnej inwestycji|2 611 900 zł|Gdynia, |Mały Kack, ||134,96 m²|Pierwotny|2024|09.01.2024|26.03.2024|morizon-161827085|381|1|2/2|2|1|4||Tak||Apartamentowiec||Co Własne||||||||||||30.06.2024|||||||||
Doskonała lokalizacja, blisko morza|977 000 zł|Gdynia, |Śródmieście, ||47,85 m²|Pierwotny|2023|16.12.2023|04.04.2024|morizon-PAN491402|249|1|1/17|17|||Nie|Nie||Apartamentowiec|YTong|Co Miejskie|||||||||||||||||||||
Centrum Gdyni! 800m do Dworca|1 053 000 zł|Gdynia, |Śródmieście, ||78,50 m²|Wtórny|1938|15.10.2021|28.03.2024|morizon-PAN190949|2 134|1|1/5|5||3|Nie|||Kamienica|Cegła|Co Miejskie|||||||||||||||||||||
Mieszkaj i zarabiaj! Mieszkanie+przyziemie+ogród|1 150 000 zł|Gdynia, |Działki Leśne, ||120 m²|Wtórny|1930|27.12.2023|30.03.2024|morizon-NN488045|481|1|1/1|1|||||Na wyłączność|Kamienica||Gazowe|||||||||||||||||||||
OKNA NA ŚWIĘTOJAŃSKĄ! DWA MIESZKANIA|1 480 000 zł|Gdynia, |Śródmieście, ||141,39 m²|Wtórny|1927|21.10.2023|28.03.2024|morizon-PAN238638|441|1|3/4|4||6|Tak|Nie||Blok Mieszkalny|Cegła|Co Miejskie|||||||||||||||||||||
SPRZEDAM 3 POKOJE - GDYNIA Z WIDOKIEM NA MORZE|635 000 zł|Gdynia, |Witomino, ||47,80 m²|Wtórny|1978|26.03.2024|12.04.2024|morizon-PAN490047|102|1|9/10|10||2|Tak|Nie||Blok Mieszkalny|Wielka płyta|Co Miejskie|45,90 m²||||||||||||||||||||
Z ogródkiem, pod wynajem, do zamieszkania|669 000 zł|Gdynia, |Karwiny, ||63,10 m²|Wtórny|1984|02.02.2024|14.02.2024|morizon-PAN387844|404|1||4||2|Tak|Nie||Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
PRZYTULNE MIESZKANIE - GDYNIA WICZLINO|439 000 zł|Gdynia, |Wiczlino, ||35 m²|Wtórny|2017|15.01.2024|25.03.2024|morizon-PAN843360|443|1|1/3|3|||Tak|Nie|Na wyłączność|Blok Mieszkalny|Pustak|Gazowe|||||||||||||||||||||
Duży metraż, zaaranżujcie jak Wam się podoba|549 000 zł|Gdynia, |Dąbrowa, ||60 m²|Wtórny|1996|05.02.2024|29.03.2024|morizon-NN813817|530|1|2/4|4|||Tak||Na wyłączność||||||||||||||||||||||||
Pogórze - 3 pok. mieszkanie z widokiem na las|570 000 zł|Gdynia, |Pogórze, ||62,90 m²|Wtórny|1989|18.01.2024|05.03.2024|morizon-PAN806495|453|1|1/3|3|||Tak|Nie|Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie||||||||||||30.09.2023|||||||||
Jedyne mieszkanie 4 pokojowe z ogródkiem|791 000 zł|Gdynia, |Pogórze, ||79,12 m²|Wtórny|2023|01.12.2023|09.04.2024|morizon-659326420|804|1||3|1|3||Tak||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Apartament wtulony w zieleń lasu|983 645 zł|Gdynia, |Mały Kack, ||53,17 m²|Pierwotny|2024|05.12.2023|26.03.2024|morizon-849044680|301|1|1/2|2|1|1||Tak||Apartamentowiec||Co Własne||||||||||||30.06.2024|||||||||
Apartament wtulony w zieleń lasu|997 700 zł|Gdynia, |Mały Kack, ||47,51 m²|Pierwotny|2024|05.12.2023|26.03.2024|morizon-820999|204|1|1/2|2|1|1||Tak||Apartamentowiec||Co Własne||||||||||||30.06.2024|||||||||
4 pokoje blisko plaży i zieleni w Gdyni|1 149 000 zł|Gdynia, |Oksywie, ||96,37 m²|Wtórny|2022|13.03.2023|26.03.2024|morizon-PAN773585|872|1|1/3|3|||Tak|Nie||Blok Mieszkalny|YTong|Co Miejskie|||||||||||||||||||||
Kameralny apartamentowiec w otulinie lasu|1 408 000 zł|Gdynia, |Mały Kack, ||73,58 m²|Pierwotny|2024|05.12.2023|26.03.2024|morizon-204145375|454|1|1/2|2|1|2||Tak||Apartamentowiec||Co Własne||||||||||||30.06.2024|||||||||
Apartament przy lesie|1 624 180 zł|Gdynia, |Mały Kack, ||81,08 m²|Pierwotny|2024|05.12.2023|26.03.2024|morizon-985145881|202|1|1/2|2|1|2||Tak||Apartamentowiec||Co Własne||||||||||||30.06.2024|||||||||
Rodzinny apartament z ogrodem|1 834 758 zł|Gdynia, |Mały Kack, ||100,26 m²|Pierwotny|2024|05.12.2023|26.03.2024|morizon-481034866|235|1||2|1|3||Tak||Apartamentowiec||Co Własne||||||||||||30.06.2024|||||||||
4 pokoje w Gdyni do własnej aranżacji|610 000 zł|Gdynia, |Obłuże, ||69,63 m²|Wtórny|1990|12.09.2023|04.04.2024|morizon-PAN724959|1 213|1||4|||Nie|Nie|Na wyłączność|Blok Mieszkalny|Pustak|Co Miejskie|||||||||||||||||||||
Apartament obok lasu - ogrodzone osiedle|1 045 000 zł|Gdynia, |Chwarzno-Wiczlino, ||80,44 m²|Wtórny|2013|22.09.2023|18.03.2024|morizon-PAN549954|554|1|2/3|3|||Tak|Nie||Apartamentowiec|Cegła|Co Miejskie|||||||||||||||||||||
DUŻY TARAS / LOFT / ZIELONA OKOLICA|788 000 zł|Gdynia|||89,25 m²|Wtórny|2020|15.01.2024|15.01.2024|morizon-PAN733922|185|1|3/3|3|2|2|Tak|Tak||Blok Mieszkalny|Pustak|Co Miejskie|70,40 m²||||||||||||||||||||
PRZESTRONNY LOFT ZIELONA OKOLICA|879 000 zł|Gdynia, |Chwarzno-Wiczlino||82 m²|Wtórny|2020|15.01.2024|31.01.2024|morizon-PAN354725|459|1|3/3|3|2|2|Tak|Tak||Blok Mieszkalny|Pustak|Co Miejskie|72,25 m²||||||||||||||||||||
nieużywany apartament z ogrodem, wysoka jakość wykończenia, Ogrody Tesoro|999 000 zł|Gdynia, |Pogórze, ||80 m²|Wtórny|2023|18.10.2022|28.03.2024|morizon-26|2 405|1||1|1||Nie|Tak|Na wyłączność|Inna|Zróżnicowany|Gazowe||Wysoki standard|300 cm|Otwarta|1|Tak||Własność|Bardzo dobry|||09.02.2024|Tak|180 m²|180 m²||||||
Apartament z widokiem na MORZE|1 135 000 zł|Gdynia, |Śródmieście, ||54,96 m²|Pierwotny|2023|13.11.2023|14.03.2024|morizon-PAN798406|165|1|7/17|17|||Nie|Nie||Apartamentowiec|YTong|Co Miejskie|||||||||||||||||||||
MIESZKANIE NA ŚWIĘTOJAŃSKIEJ|1 690 000 zł|Gdynia, |Śródmieście, ||87,50 m²|Wtórny|1930|04.03.2024|06.03.2024|morizon-PAN412777|98|1|1/4|4|||Nie|Nie||Kamienica|Cegła|Co Miejskie||||||||||||04.03.2024|||||||||
Nowe-3 pok. w centrum Gdyni-po generalnym remoncie|799 000 zł|Gdynia, |Śródmieście, ||55 m²|Wtórny|1980|15.11.2023|07.03.2024|morizon-PAN405418|167|1|5/10|10|||Tak|Nie||Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
INWESTYCJA PARTER OGRÓDEK MAŁY KACK|499 000 zł|Gdynia, |Orłowo, ||55 m²|Wtórny|1970|16.11.2023|27.03.2024|morizon-PAN260653|537|1||2|||Nie|Nie||Kamienica|Cegła|Gazowe|||||||||||||||||||||
Apartament blisko plaży w Orłowie|2 406 329 zł|Gdynia, |Orłowo, ||84,30 m²|Wtórny|2021|07.12.2023|26.03.2024|morizon-246619219|413|1||3|1|2||||Apartamentowiec|Konstrukcja mieszana|Co Miejskie|80,81 m²|||||||||||06.12.2023|||||||||
Rodzinny apartament w sercu Orłowa|2 956 180 zł|Gdynia, |Orłowo, ||105,60 m²|Wtórny|2021|07.12.2023|26.03.2024|morizon-122965708|373|1||3|1|3||||Apartamentowiec|Konstrukcja mieszana|Co Miejskie|99,29 m²|||||||||||06.12.2023|||||||||
Apartament przy morzu w Orłowie|3 059 665 zł|Gdynia, |Orłowo, ||112,50 m²|Wtórny|2021|06.12.2023|26.03.2024|morizon-759353589|275|1||3|1|3||||Apartamentowiec|Konstrukcja mieszana|Co Miejskie|105,91 m²|||||||||||06.12.2023|||||||||
MIESZKANIE W ŚCISŁYM CENTRUM GDYNI|599 000 zł|Gdynia, |Kamienna Góra, ||34,54 m²|Wtórny|1937|28.11.2023|14.03.2024|morizon-PAN513182|271|1|Suterena/4|4|||Nie|Nie||Kamienica|Cegła|Gazowe|||||||||||||||||||||
Doskonała lokalizacja, 10 min spacerem od plaży|599 000 zł|Gdynia, |Kamienna Góra, ||37 m²|Wtórny|1930|21.11.2023|14.03.2024|morizon-NN918281|324|1|Suterena/4|4||1||||||||||||||||||21.11.2023|||||||||
Opis nieruchomości|518 569 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,72 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.41|460|36|||||||||||||||||||||||||||||||
Mieszkanie w samym Centrum Gdyni|599 000 zł|Gdynia, |Śródmieście, ||34,50 m²|Wtórny|1979|04.12.2023|29.03.2024|morizon-PAN360215|531|1|3/4|4||1|Tak|Nie|Na wyłączność|Kamienica|Cegła|Co Miejskie|||||||||||||||||||||
"4-pokojowe | balkon | parking | komunikacja | las"|679 000 zł|Gdynia, |Demptowo, ||86,30 m²|Wtórny|2008|15.07.2022|29.08.2023|morizon-PAN233608|2 254|1|3/3|3||3|Tak|Nie||Blok Mieszkalny|Pustak|Kominkowe|||||||||||||||||||||
Zamieszkaj w spokojnej okolicy blisko lasu|688 000 zł|Gdynia, |Wielki Kack, ||53,30 m²|Wtórny|2012|24.07.2023|18.12.2023|morizon-PAN175913|665|1|2/2|2|||Tak|Nie||Blok Mieszkalny|Cegła|Co Miejskie|||||||||||||||||||||
Centrum Gdyni, wszędzie blisko świetna komunikacja|729 000 zł|Gdynia, |Działki Leśne, ||66,76 m²|Wtórny|1963|09.11.2023|30.11.2023|morizon-PAN520271|482|1|3/4|4|||Tak|Nie||Kamienica|Cegła|Co Miejskie|||||||||||||||||||||
Dwupoziomowe przestronne mieszkanie Fikakowo Gdyni|899 000 zł|Gdynia, |Fikakowo, ||84,80 m²|Wtórny|2002|18.10.2023|08.12.2023|morizon-PAN718832|284|1|4/4|4||2|Tak|Nie|Na wyłączność|Blok Mieszkalny|Pustak|Co Miejskie|||||||||||||||||||||
APARTAMENT / 2 MIEJSCA W HALI GARAŻOWEJ/ 2 BALKONY|950 000 zł|Gdynia, |Chylonia, ||75,39 m²|Wtórny|2018|26.07.2023|10.09.2023|morizon-PAN317496|451|1|2/2|2|||Tak|Nie||Blok Mieszkalny|Inne|Gazowe|||||||||||||||||||||
3 pokoje, 2 duże balkony, cisza i spokój|1 079 000 zł|Gdynia, |Mały Kack, ||82,10 m²|Wtórny|2001|11.08.2023|09.02.2024|morizon-PAN670968|601|1|2/2|2|||Tak|Nie||Blok Mieszkalny|Pustak|Co Własne|||||||||||||||||||||
SPRZEDAM WYJĄTKOWE MIESZKANIE|1 350 000 zł|Gdynia, |Działki Leśne, ||150,90 m²|Wtórny|1995|08.08.2023|28.11.2023|morizon-PAN736374|533|1||1|||Tak|Tak|Na wyłączność|Bliźniak|Cegła|Gazowe|||||||||||||||||||||
Mieszkanie na Gdyńskim Grabówku|675 000 zł|Gdynia, |Grabówek, ||68 m²|Wtórny|1980|04.04.2023|10.06.2023|morizon-PAN931132|619|1|3/4|4|||Tak|Nie||Blok Mieszkalny|Cegła|Gazowe|||||||||||||||||||||
Mieszkaj i zarabiaj! Mieszkanie + suterena + ogród|1 150 000 zł|Gdynia, |Działki Leśne, ||72 m²|Wtórny|1930|11.12.2023|01.03.2024|morizon-NN100751|185|1|1/1|1|||||Na wyłączność|Kamienica||Gazowe|||||||||||||||||||||
Mieszkanie, Gdynia Orłowo|1 221 000 zł|Gdynia, |Orłowo, ||74,24 m²|Pierwotny|2022|08.12.2022|02.09.2023|morizon-PAN995369|1 349|1|1/3|3||3|Tak|Nie||Blok Mieszkalny|Pustak|Co Miejskie|||||||||||||||||||||
"3 pokoje | Centrum | Bezczynszowe | Parter"|650 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||63 m²|Wtórny|1936|25.08.2022|13.02.2024|morizon-PAN280149|2 761|1||3||3|Nie|Nie||Kamienica|Cegła|Co Miejskie|||||||||||||||||||||
Klimatyczne , po generealnym remoncie - 2 pokoje|419 000 zł|Gdynia, |Witomino, ||29,20 m²|Wtórny|1970|01.02.2024|01.02.2024|morizon-NN616063|452|1|3/4|4||1|Tak||||||||||||||||||||||||||
Świetna lokalizacja, potencjał inwestycyjny|1 085 000 zł|Gdynia, |Śródmieście, ||55,74 m²|Pierwotny|2023|13.11.2023|06.02.2024|morizon-PAN544504|198|1|1/17|17|||Nie|Nie||Apartamentowiec|YTong|Co Miejskie|||||||||||||||||||||
2 Pokoje z widokiem na zatokę i panoramę Gdyni|480 000 zł|Gdynia, |Pogórze||50 m²|Wtórny|1999|08.09.2023|07.11.2023|morizon-PAN873817|999|1|4/4|4||1|Tak|Nie|Na wyłączność|Blok Mieszkalny|Cegła|Co Miejskie|||||||||||||||||||||
Piękne mieszkanie w bardzo dobrej lokalizacji|429 000 zł|Gdynia, |Witomino, ||29,30 m²|Wtórny|1970|12.02.2024|14.02.2024|morizon-PAN941605|322|1|3/4|4|||Tak|Nie||Blok Mieszkalny|Pustak|Co Miejskie|||||||||||||||||||||
przestronna kamienica z dużą piwnicą spiżarnią|747 000 zł|Gdynia, |Działki Leśne, ||67 m²|Wtórny|1938|18.01.2023|06.09.2023|morizon-PAN994776|855|1|2/4|4|||Nie|Nie||Kamienica|Cegła|Elektryczne|||||||||||||||||||||
3 kawalerki na wynajem w centrum Gdyni|1 149 000 zł|Gdynia, |Śródmieście, ||99,29 m²|Wtórny|1960|13.12.2023|13.12.2023|morizon-PAN760558|332|1|1/5|5|||Tak|Nie||Kamienica|Inne|Co Miejskie|||||||||||||||||||||
klimatyczne mieszkanie blisko lasu|790 000 zł|Gdynia, |Dąbrowa, ||87,10 m²|Wtórny|1997|15.11.2023|30.11.2023|morizon-PAN587733|259|1|2/3|3|||Tak|Nie||Blok Mieszkalny|Cegła|Co Miejskie|||||||||||||||||||||
Gotowa inwestycja! 2 lokale mieszkalne|890 000 zł|Gdynia, |Śródmieście, ||48 m²|Wtórny|1970|11.10.2022|29.06.2023|morizon-PAN119246|1 129|1||5|||Nie|Nie||Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
Doskonała kawalerka na inwestycję|445 000 zł|Gdynia, |Dąbrowa, ||34 m²|Wtórny|2000|21.11.2023|20.02.2024|morizon-PAN643905|401|1|1/3|3||1|Nie|Nie|Na wyłączność|Blok Mieszkalny|Pustak|Co Miejskie|||||||||||||||||||||
Strzeżone rodzinne osiedle - wykończone mieszkanie|915 000 zł|Gdynia, |Chwarzno-Wiczlino, ||71 m²|Wtórny|2012|26.01.2023|05.07.2023|morizon-NN973523|836|1|2/3|3|||Tak||Na wyłączność||||||||||||||||||||||||
IDEALNA INWESTYCJA - MIESZKANIE I LOKALE USŁUGOWE|720 000 zł|Gdynia, |Obłuże||94 m²|Wtórny|1971|06.09.2023|01.11.2023|morizon-PAN310160|394|1|2/2|2||4|Tak|Nie||Dom Wielorodzinny|Cegła|Gazowe|||||||||||||||||||||
Centrum - 2 Pokoje Gdynia Śródmieście|599 000 zł|Gdynia, |Kamienna Góra||34,54 m²|Wtórny|1937|15.03.2024|15.03.2024|morizon-282321|95|0|Suterena/4|4||1||||Kamienica|Cegła|Gazowe||||||||||||01.03.2024|||||||||
Słoneczne mieszkanie 63 m2 - 3 pokoje do życia|648 000 zł|Gdynia, |Karwiny, ||63,10 m²|Wtórny|1980|09.04.2024|09.04.2024|morizon-NA492481|20|0|4/4|4|||||Na wyłączność|||Co Miejskie|||||||||||||||||||||
KAMIENICA, ŚCISŁE CENTRUM GDYNI! 2 POKOJE|699 000 zł|Gdynia, |Śródmieście||42 m²|Wtórny||19.03.2024|19.03.2024|morizon-203773|104|0|4/5|5||1||||Kamienica||Co Miejskie||||||||||||19.03.2024|||||||||
3 pokoje z balkonem dla rodziny Invest Komfort|739 000 zł|Gdynia|||55,90 m²|Wtórny|2008|12.04.2024|12.04.2024|morizon-TY879607|1|0|1/3|3|||Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
4 pok. mieszkanie 82m2, Płk.Dąbka, Gdynia Obłuże|795 000 zł|Gdynia M., |Gdynia, ||82 m²|Wtórny||28.03.2024|28.03.2024|morizon-YNK-MS-2289|56|0|9/9|9|||Tak||Na wyłączność|Wieżowiec||Miejskie||Do wprowadzenia||Oddzielna|1|Nie||Własność||||||||PCV|||||
4 Pokoje Gdynia Chwarzno-Wiczlino|875 000 zł|Gdynia, |Chwarzno-Wiczlino, ||73 m²|Wtórny|2011|12.04.2024|12.04.2024|morizon-PH658639|1|0|2/3|3||3|Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Dwustronne w centrum z możliwością podziału|950 000 zł|Gdynia, |Śródmieście, ||75,28 m²|Wtórny|1956|12.04.2024|12.04.2024|morizon-TY585066|1|0|4/4|4|||||Na wyłączność|Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Duże mieszkanie w samym centrum Gdyni|980 000 zł|Gdynia, |Śródmieście, ||60,50 m²|Wtórny|1965|12.04.2024|12.04.2024|morizon-TY443349|1|0|8/8|8|||Tak||Na wyłączność|Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
"** 3 Pokoje | Po remoncie | Wysoki Standard **"|1 049 000 zł|Gdynia, |Redłowo, ||77,64 m²|Wtórny|1950|08.04.2024|08.04.2024|morizon-EP298798|23|0||3|1|2|||Na wyłączność|Kamienica|Cegła|Co Własne||||||||||||31.05.2024|||||||||
6 mini kawalerek - Gdynia Kamienna Góra|1 330 000 zł|Gdynia, |Kamienna Góra, ||100 m²|Wtórny|1930|01.03.2024|01.03.2024|morizon-186333|149|0||3|1|6|||Na wyłączność|Kamienica|Cegła|Gazowe|95 m²|||||||||||01.04.2024|||||||||
Elegancki apartament w Gdyni z widokiem na zatokę|1 340 000 zł|Gdynia, |Węglowa||41 m²|Wtórny|2022|11.03.2024|11.03.2024|morizon-96/14376/OMS|54|0|14/17|17||||||APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ||BARDZO WYSOKI STANDARD|270 cm|ANEKS KUCHENNY|1|||WŁASNOŚĆ|||||||||||||
Wysoki standard, antresola i prywatny taras|1 495 000 zł|Gdynia, |Wielki Kack, ||105 m²|Wtórny|2017|11.04.2024|11.04.2024|morizon-635075|19|0|2/2|2||2|Tak|Tak||Blok Mieszkalny||Co Miejskie|83 m²||||||||||||||||||||
Opis nieruchomości|531 976 zł|Gdynia, |Cisowa, |ZBOŻOWA|45,86 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.71|492|31|||||||||||||||||||||||||||||||
Elegancki apartament z widokiem na zatokę Portova|1 500 000 zł|Gdynia, |Węglowa||52 m²|Wtórny|2022|11.03.2024|11.03.2024|morizon-97/14376/OMS|67|0|13/17|17||||||APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ|||270 cm|ANEKS KUCHENNY|1|||WŁASNOŚĆ|||||||||||||
Eleganckie mieszkanie z ogródkiem|1 670 000 zł|Gdynia, |Orłowo, ||58 m²|Wtórny|2017|10.04.2024|10.04.2024|morizon-WH298016|23|0||2|1|1||Tak|Na wyłączność|Apartamentowiec|YTong|Co Miejskie|54,81 m²|||||||||||01.03.2024|||||||||
WYSOKI STANDARD W SPOKOJNEJ OKOLICY|1 790 000 zł|Gdynia, |Wielki Kack||151,97 m²|Wtórny|2018|26.03.2024|26.03.2024|morizon-367841|49|0||3|3|3|Tak|||Apartamentowiec||Co Miejskie|147,98 m²|||||||||||26.03.2024|||||||||
Mieszkanie z Duszą z widokiem na morze|1 999 000 zł|Gdynia, |Śródmieście||112,80 m²|Wtórny|1937|27.03.2024|27.03.2024|morizon-957089|100|0|4/5|5||2|Tak|||Kamienica||Co Miejskie||||||||||||27.03.2024|||||||||
4 pokoje, Gdynia, Mały Kacyk|2 110 000 zł|Gdynia, |Mały Kack, ||94,20 m²|Wtórny|2018|10.04.2024|10.04.2024|morizon-112/14376/OMS|16|0|1/3|3||||||APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD||ANEKS KUCHENNY|2||||||||||||||||
Mieszkanie z poddaszem 3 pokojowe do remontu|650 000 zł|Gdynia, |Mały Kack, ||73,50 m²|Wtórny|1995|04.04.2024|05.04.2024|morizon-TY543103|96|0|1/2|2||2||Tak|Na wyłączność|Dom Wielorodzinny|Gazobeton|Co Własne|||||||||||||||||||||
"Nowoczesne Osiedle | Hossa | Gdynia Chwarzno"|670 000 zł|Gdynia, |Chwarzno-Wiczlino, ||40,40 m²|Wtórny|2021|06.04.2024|11.04.2024|morizon-ON598165|38|0|2/3|3|||Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
2 pokoje w wysokim standardzie z widokiem|699 000 zł|Gdynia, |Grabówek, ||44,20 m²|Wtórny|2014|28.03.2024|28.03.2024|morizon-297250|73|0|4/5|5||1|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
2 pokojowa perełka w sercu miasta|699 000 zł|Gdynia, |Działki Leśne, ||47,88 m²|Wtórny|1960|15.03.2024|15.03.2024|morizon-PH813678|76|0|3/9|9|||Tak||Na wyłączność|Wieżowiec||Co Miejskie|||||||||||||||||||||
